time,WHE,RSE,GRE,MHE,B1E,BME,CWE,DWE,EQE,FRE,HPE,OFE,UTE,WOE,B2E,CDE,DNE,EBE,FGE,HTE,OUE,TVE,UNE
1333264680000000000,2787,43,2,2742,0,440,0,0,40,114,1757,14,9,0,8,0,31,0,125,4,0,37,163
1333264740000000000,2696,43,2,2651,0,452,0,0,40,113,1761,14,9,0,8,0,29,0,124,4,0,38,59
1333264800000000000,2677,41,0,2636,0,443,0,0,30,113,1771,15,9,0,8,0,28,0,123,4,0,38,54
1333264860000000000,2705,41,0,2664,0,446,0,0,40,114,1776,19,9,0,8,0,28,0,122,4,0,37,61
1333264920000000000,2705,41,0,2664,0,453,0,0,40,113,1783,15,9,0,8,0,27,0,122,4,0,38,52
1333264980000000000,2595,43,4,2548,0,456,0,0,40,114,1792,15,9,0,8,0,26,0,0,4,0,37,47
1333265040000000000,2600,41,4,2555,0,459,0,0,40,114,1790,15,9,0,8,0,24,0,0,4,0,37,55
1333265100000000000,2595,41,2,2552,0,444,0,0,40,115,1795,19,9,0,8,0,24,0,0,4,0,38,56
1333265160000000000,2609,43,2,2564,0,449,0,0,40,115,1799,15,9,0,8,0,23,0,0,4,0,38,64
1333265220000000000,2595,43,2,2550,0,447,0,0,41,114,1798,15,9,0,8,0,23,0,0,4,0,38,53
1333265280000000000,2613,43,0,2570,0,451,0,0,40,114,1802,18,9,0,8,0,22,0,10,4,0,38,54
1333265340000000000,2618,43,2,2573,0,454,0,0,40,114,1808,15,9,0,8,0,21,0,9,4,0,38,53
1333265400000000000,2613,43,0,2570,0,445,0,0,41,114,1807,19,9,0,8,0,21,0,0,4,0,38,64
1333265460000000000,2600,41,0,2559,0,444,0,0,40,113,1807,15,9,0,8,0,21,0,0,4,0,38,60
1333265520000000000,2609,41,2,2566,0,445,0,0,40,114,1809,15,9,0,8,0,21,0,0,4,0,37,64
1333265580000000000,2618,43,0,2575,0,455,0,0,43,114,1811,18,9,0,8,0,21,0,0,4,0,38,54
1333265640000000000,2618,43,0,2575,0,454,0,0,40,114,1816,15,9,0,8,0,21,0,0,4,0,37,57
1333265700000000000,2623,43,2,2578,0,456,0,0,40,114,1815,19,9,0,8,0,21,0,0,4,0,37,55
1333265760000000000,2741,185,2,2554,0,452,0,0,30,114,1815,15,9,0,8,0,21,0,0,4,0,38,48
1333265820000000000,913,173,2,738,0,452,0,0,40,106,0,17,9,0,8,0,21,0,0,4,0,38,43
1333265880000000000,886,171,2,713,0,444,0,0,40,108,1,15,9,0,8,0,21,0,0,4,0,39,24
1333265940000000000,900,173,2,725,0,438,0,0,40,106,1,15,9,0,8,0,21,0,0,4,0,37,46
1333266000000000000,909,171,0,738,0,451,0,0,40,106,1,19,9,0,8,0,21,0,0,4,0,38,41
1333266060000000000,900,171,2,727,0,451,0,0,40,107,0,15,9,0,7,0,21,0,0,4,0,38,35
1333266120000000000,913,169,0,744,0,452,0,0,40,107,0,15,9,0,8,0,21,0,10,4,0,37,41
1333266180000000000,996,171,0,825,0,457,0,0,40,108,1,18,9,0,8,0,21,0,6,4,0,37,116
1333266240000000000,1160,171,2,987,0,456,0,0,40,106,1,15,9,0,8,0,21,0,7,4,0,37,283
1333266300000000000,1147,169,0,978,0,459,0,0,40,106,1,18,9,0,8,0,21,0,6,4,0,38,268
1333266360000000000,1119,166,2,951,0,455,0,0,41,106,1,15,9,0,8,0,21,0,6,4,0,38,247
1333266420000000000,1270,169,0,1101,0,454,0,0,40,106,1,19,9,1,8,0,21,0,148,4,0,38,252
1333266480000000000,1028,41,4,983,0,456,0,0,40,106,1,15,9,0,8,0,21,0,137,4,0,38,148
1333266540000000000,1032,43,0,989,0,455,0,0,42,106,1,15,9,0,8,0,21,0,135,4,0,38,155
1333266600000000000,1019,43,2,974,0,452,0,0,40,106,1,19,9,0,8,0,21,0,134,4,0,38,142
1333266660000000000,1023,41,4,978,0,460,0,0,40,106,1,14,9,0,8,0,21,0,133,4,0,38,144
1333266720000000000,621,41,2,578,0,49,0,0,45,107,1,18,9,0,8,0,21,0,133,5,0,38,144
1333266780000000000,626,43,4,579,0,27,0,0,40,106,41,15,9,0,8,0,20,0,132,5,0,38,138
1333266840000000000,621,43,4,574,0,27,0,0,40,106,39,15,9,0,7,0,20,0,132,5,0,38,136
1333266900000000000,525,41,0,484,0,27,0,0,31,106,38,19,9,0,7,0,19,0,132,5,0,38,53
1333266960000000000,511,41,2,468,0,27,0,0,41,106,38,17,9,1,8,0,17,0,131,5,0,38,30
1333267020000000000,520,43,0,477,0,27,0,0,40,106,37,15,9,0,7,0,18,0,130,5,0,38,45
1333267080000000000,516,41,2,473,0,27,0,0,40,107,38,15,9,0,7,0,16,0,130,5,0,37,42
1333267140000000000,516,43,2,471,0,27,0,0,40,106,37,19,9,0,8,0,16,0,130,5,0,38,36
1333267200000000000,493,43,2,448,0,7,0,0,40,106,38,15,9,0,7,0,15,0,130,5,0,37,39
1333267260000000000,498,43,2,453,0,7,0,0,40,106,37,19,9,0,7,0,15,0,129,5,0,37,42
1333267320000000000,498,41,2,455,0,7,0,0,41,107,38,15,9,0,8,0,14,0,129,5,0,37,45
1333267380000000000,365,41,0,324,0,7,0,0,40,106,38,15,9,0,8,0,12,0,7,5,0,38,39
1333267440000000000,370,43,0,327,0,7,0,0,40,107,38,19,9,0,8,0,12,0,7,5,0,39,36
1333267500000000000,365,43,0,322,0,7,0,0,42,106,38,15,9,0,7,0,13,0,7,5,0,38,35
1333267560000000000,511,194,2,315,0,7,0,0,40,107,37,15,9,0,7,0,13,0,7,5,0,39,29
1333267620000000000,498,178,2,318,0,7,0,0,40,106,37,15,9,0,8,0,12,0,7,5,0,38,34
1333267680000000000,502,173,0,329,0,7,0,0,43,107,37,19,9,0,7,0,13,0,7,5,0,38,37
1333267740000000000,493,175,2,316,0,7,0,0,40,106,38,15,9,0,8,0,13,0,7,5,0,38,30
1333267800000000000,498,173,0,325,0,7,0,0,40,106,38,19,9,0,7,0,13,0,7,5,0,38,36
1333267860000000000,3235,171,4,3060,0,7,0,0,30,114,2813,15,9,0,7,0,13,0,10,5,0,37,0
1333267920000000000,2166,175,2,1989,0,7,0,0,40,114,1557,15,9,0,8,0,13,0,148,5,0,38,35
1333267980000000000,2303,171,0,2132,0,6,0,0,40,115,1696,15,9,0,8,0,13,0,135,5,0,38,52
1333268040000000000,2353,171,2,2180,0,6,0,0,40,114,1754,15,9,0,8,0,13,0,131,5,0,38,47
1333268100000000000,2371,171,2,2198,0,6,0,0,40,115,1775,19,9,0,8,0,13,0,129,5,0,38,41
1333268160000000000,2344,169,0,2175,0,7,0,0,40,113,1753,15,9,0,8,0,13,0,130,5,0,37,45
1333268220000000000,2362,171,0,2191,0,7,0,0,40,115,1763,19,9,0,7,0,13,0,128,5,0,39,46
1333268280000000000,2248,41,0,2207,0,7,0,0,41,115,1777,15,9,0,8,0,13,0,127,5,0,37,53
1333268340000000000,2252,43,0,2209,0,7,0,0,40,113,1784,19,9,0,8,0,13,0,124,5,0,38,49
1333268400000000000,2252,43,2,2207,0,7,0,0,40,114,1786,15,9,0,7,0,13,0,123,5,0,38,50
1333268460000000000,2262,43,4,2215,0,7,0,0,41,114,1790,15,9,0,7,0,13,0,122,5,0,38,54
1333268520000000000,2307,41,2,2264,0,7,0,0,40,113,1798,15,9,0,7,0,13,0,1,5,0,38,218
1333268580000000000,2252,43,0,2209,0,6,0,0,40,114,1798,15,9,0,8,0,13,0,0,5,0,38,163
1333268640000000000,2262,41,2,2219,0,7,0,0,42,113,1802,18,9,0,7,0,13,0,0,5,0,38,165
1333268700000000000,2257,43,2,2212,0,7,0,0,40,113,1807,15,9,0,8,0,13,0,0,5,0,38,157
1333268760000000000,2262,43,2,2217,0,6,0,0,40,113,1810,15,9,0,7,0,12,0,0,5,0,37,163
1333268820000000000,2257,41,2,2214,0,6,0,0,45,114,1811,19,9,0,8,0,11,0,0,5,0,38,148
1333268880000000000,2257,43,0,2214,0,7,0,0,40,114,1813,15,9,0,7,0,11,0,1,5,0,38,154
1333268940000000000,2266,43,0,2223,0,7,0,0,40,115,1814,19,9,0,7,0,11,0,0,5,0,38,158
1333269000000000000,2257,43,0,2214,0,7,0,0,30,114,1818,15,9,0,7,0,10,0,0,5,0,37,162
1333269060000000000,2262,41,0,2221,0,6,0,0,40,114,1817,15,9,0,8,0,10,0,0,5,0,38,159
1333269120000000000,2262,43,2,2217,0,7,0,0,40,114,1821,19,9,0,7,0,10,0,0,5,0,37,148
1333269180000000000,2166,43,0,2123,0,7,0,0,40,114,1822,15,9,0,7,0,9,0,0,5,0,37,58
1333269240000000000,2161,41,0,2120,0,7,0,0,41,114,1824,15,9,1,7,0,9,0,1,5,0,37,50
1333269300000000000,2166,43,4,2119,0,7,0,0,40,114,1822,19,8,0,7,0,9,0,0,5,0,38,50
1333269360000000000,2161,41,2,2118,0,7,0,0,40,114,1821,15,9,0,8,0,8,0,0,5,0,39,52
1333269420000000000,456,182,0,274,0,6,0,0,40,107,1,15,9,0,8,0,8,0,0,5,0,38,37
1333269480000000000,452,175,0,277,0,6,0,0,40,107,1,15,9,0,8,0,8,0,0,5,0,37,41
1333269540000000000,447,173,2,272,0,7,0,0,40,106,1,17,9,0,8,0,7,0,0,5,0,38,34
1333269600000000000,452,173,2,277,0,7,0,0,42,106,1,15,9,0,7,0,7,0,0,5,0,39,39
1333269660000000000,438,169,2,267,0,7,0,0,40,107,1,15,9,0,8,0,7,0,0,5,0,38,30
1333269720000000000,447,171,2,274,0,7,0,0,40,106,1,18,8,0,8,0,6,0,0,5,0,37,38
1333269780000000000,452,171,0,281,0,7,0,0,43,106,1,15,9,0,7,0,6,0,0,5,0,38,44
1333269840000000000,443,166,2,275,0,7,0,0,40,107,1,15,9,0,8,0,6,0,1,5,0,39,37
1333269900000000000,443,171,4,268,0,7,0,0,40,107,1,19,9,0,8,0,6,0,0,5,0,38,28
1333269960000000000,429,166,0,263,0,7,0,0,31,106,0,15,9,0,8,0,6,0,0,5,0,38,38
1333270020000000000,438,169,4,265,0,7,0,0,40,106,1,15,9,0,8,0,6,0,0,5,0,39,29
1333270080000000000,324,41,2,281,0,7,0,0,40,107,1,19,9,0,7,0,6,0,0,5,0,39,41
1333270140000000000,319,43,0,276,0,7,0,0,40,107,1,15,9,0,7,0,5,0,0,5,0,38,42
1333270200000000000,319,43,2,274,0,6,0,0,40,106,1,19,9,0,7,0,5,0,0,5,0,38,38
1333270260000000000,315,41,0,274,0,6,0,0,40,106,1,15,9,0,7,0,5,0,0,5,0,38,42
1333270320000000000,310,43,0,267,0,7,0,0,40,108,1,15,9,0,8,0,5,0,0,5,0,37,32
1333270380000000000,466,41,0,425,0,7,0,0,41,106,1,19,9,0,7,0,5,0,148,5,0,37,40
1333270440000000000,452,43,2,407,0,7,0,0,40,106,1,15,9,0,7,0,5,0,138,5,0,38,36
1333270500000000000,479,43,4,432,0,7,0,0,40,106,41,15,9,0,7,0,5,0,128,5,0,37,32
1333270560000000000,488,41,0,447,0,7,0,0,42,105,38,19,9,0,7,0,5,0,127,5,0,38,45
1333270620000000000,475,43,2,430,0,7,0,0,40,106,37,15,9,0,7,0,4,0,126,5,0,38,36
1333270680000000000,484,43,0,441,0,7,0,0,40,106,38,15,9,0,7,0,4,0,127,5,0,38,45
1333270740000000000,607,43,2,562,0,7,0,0,43,106,38,17,9,0,8,0,4,0,125,5,0,38,162
1333270800000000000,644,41,4,599,0,7,0,0,41,106,38,76,9,0,7,0,4,0,124,5,0,38,144
1333270860000000000,648,43,2,603,0,7,0,0,41,106,38,76,9,1,8,0,4,0,123,5,0,37,148
1333270920000000000,525,43,0,482,0,7,0,0,46,106,37,73,9,0,8,0,4,0,0,5,0,37,150
1333270980000000000,520,41,2,477,0,6,0,0,41,106,38,76,9,0,7,0,4,0,1,5,0,38,146
1333271040000000000,516,43,2,471,0,6,0,0,40,107,37,73,9,0,8,0,4,0,0,5,0,38,144
1333271100000000000,516,43,2,471,0,7,0,0,31,107,38,71,9,0,8,0,3,0,0,5,0,38,154
1333271160000000000,511,43,2,466,0,7,0,0,40,106,38,75,9,0,7,0,4,0,1,5,0,38,136
1333271220000000000,658,194,0,464,0,7,0,0,40,106,37,74,9,0,8,0,4,0,0,5,0,38,136
1333271280000000000,635,178,2,455,0,7,0,0,40,106,37,66,9,1,8,0,3,0,0,5,0,38,135
1333271340000000000,635,173,0,462,0,7,0,0,41,106,38,65,9,0,7,0,4,0,0,5,0,38,142
1333271400000000000,525,169,0,356,0,6,0,0,41,106,37,65,9,0,8,0,3,0,0,5,0,37,39
1333271460000000000,2056,169,2,1885,0,7,0,0,40,114,1544,61,9,0,8,0,3,0,10,5,0,38,46
1333271520000000000,2211,173,0,2038,0,7,0,0,41,115,1698,60,9,0,8,0,3,0,7,5,0,38,47
1333271580000000000,2216,171,2,2043,0,7,0,0,40,115,1759,15,9,0,7,0,0,0,0,5,0,37,49
1333271640000000000,2230,169,2,2059,0,7,0,0,40,115,1781,17,9,0,8,0,0,0,0,5,0,38,39
1333271700000000000,2243,171,2,2070,0,7,0,0,42,114,1790,15,9,0,8,0,0,0,0,5,0,38,42
1333271760000000000,2262,166,0,2096,0,7,0,0,40,114,1800,19,9,0,8,0,0,0,0,5,0,37,57
1333271820000000000,2225,169,4,2052,0,7,0,0,40,114,1777,15,9,0,7,0,0,0,0,5,0,38,40
1333271880000000000,2248,169,0,2079,0,7,0,0,43,115,1787,19,9,0,7,0,0,0,0,5,0,38,49
1333271940000000000,2124,43,0,2081,0,7,0,0,40,114,1791,15,9,0,7,0,1,0,0,5,0,39,53
1333272000000000000,2134,43,0,2091,0,7,0,0,40,115,1795,15,9,0,7,0,0,0,0,5,0,38,60
1333272060000000000,2120,41,2,2077,0,7,0,0,30,114,1801,15,9,0,7,0,1,0,0,5,0,38,50
1333272120000000000,2134,41,0,2093,0,6,0,0,40,114,1802,17,9,0,7,0,0,0,1,5,0,38,54
1333272180000000000,2134,43,2,2089,0,7,0,0,40,114,1806,15,9,0,7,0,0,0,0,5,0,38,48
1333272240000000000,2138,43,0,2095,0,7,0,0,40,114,1810,15,9,0,7,0,0,0,0,5,0,37,51
1333272300000000000,2143,41,2,2100,0,7,0,0,40,113,1813,19,9,0,7,0,0,0,0,5,0,39,48
1333272360000000000,2147,43,0,2104,0,7,0,0,40,114,1811,15,9,0,7,0,0,0,0,5,0,37,59
1333272420000000000,2147,45,2,2100,0,7,0,0,40,114,1815,15,9,0,7,0,0,0,0,5,0,38,50
1333272480000000000,2152,43,2,2107,0,6,0,0,41,115,1816,19,9,0,8,0,0,0,0,5,0,38,50
1333272540000000000,2152,43,0,2109,0,7,0,0,40,114,1818,15,9,0,7,0,0,0,0,5,0,38,56
1333272600000000000,2298,43,2,2253,0,7,0,0,40,114,1816,15,9,0,7,0,0,0,144,5,0,38,58
1333272660000000000,2289,41,2,2246,0,7,0,0,41,114,1824,15,9,0,7,0,0,0,131,5,0,38,55
1333272720000000000,2284,43,4,2237,0,7,0,0,40,115,1823,15,9,0,7,0,0,0,128,5,0,37,51
1333272780000000000,2284,43,2,2239,0,7,0,0,40,113,1821,19,9,0,7,0,0,0,127,5,0,38,53
1333272840000000000,2284,43,2,2239,0,7,0,0,42,114,1824,15,9,0,7,0,0,0,126,5,0,38,52
1333272900000000000,2280,43,0,2237,0,7,0,0,40,114,1824,15,9,0,7,0,0,0,125,5,0,38,53
1333272960000000000,2417,43,0,2374,0,7,0,0,40,114,1826,19,9,0,7,0,0,0,125,5,0,38,184
1333273020000000000,2385,43,2,2340,0,6,0,0,45,115,1830,15,9,0,7,0,0,0,123,5,0,38,147
1333273080000000000,685,191,2,492,0,7,0,0,40,108,1,15,9,0,8,0,0,0,122,5,0,37,140
1333273140000000000,548,178,4,366,0,6,0,0,40,106,1,17,9,0,7,0,0,0,0,5,0,37,138
1333273200000000000,548,173,2,373,0,7,0,0,31,108,1,16,9,0,7,0,0,0,0,5,0,38,151
1333273260000000000,543,173,2,368,0,7,0,0,40,107,1,15,9,0,7,0,0,0,1,5,0,38,138
1333273320000000000,543,173,0,370,0,7,0,0,40,107,1,19,9,0,8,0,0,0,0,5,0,38,136
1333273380000000000,539,173,0,366,0,6,0,0,40,107,1,15,9,0,8,0,0,0,0,5,0,38,137
1333273440000000000,539,173,0,366,0,6,0,0,41,107,1,15,8,0,7,0,0,0,0,5,0,37,139
1333273500000000000,543,171,2,370,0,7,0,0,40,107,1,19,9,0,8,0,0,0,0,5,0,38,136
1333273560000000000,539,171,2,366,0,7,0,0,40,106,1,15,8,1,7,0,0,0,0,5,0,38,138
1333273620000000000,429,169,2,258,0,7,0,0,41,106,1,15,9,0,7,0,0,0,1,5,0,37,29
1333273680000000000,434,166,0,268,0,7,0,0,40,106,1,19,9,0,7,0,0,0,0,5,0,38,36
1333273740000000000,429,169,2,258,0,7,0,0,40,106,1,15,9,0,7,0,0,0,0,5,0,38,30
1333273800000000000,319,43,2,274,0,7,0,0,42,106,1,15,9,0,7,0,0,0,0,5,0,38,44
1333273860000000000,315,41,0,274,0,7,0,0,40,106,1,19,9,0,7,0,0,0,0,5,0,37,43
1333273920000000000,310,43,4,263,0,7,0,0,40,107,1,15,9,0,8,0,0,0,0,5,0,37,34
1333273980000000000,319,43,0,276,0,7,0,0,44,106,1,19,9,0,7,0,0,0,0,5,0,38,40
1333274040000000000,310,41,0,269,0,7,0,0,40,107,1,15,9,0,7,0,1,0,0,5,0,38,39
1333274100000000000,310,41,0,269,0,7,0,0,40,107,1,15,9,0,7,0,0,0,0,5,0,38,40
1333274160000000000,342,43,2,297,0,7,0,0,31,107,41,18,9,0,7,0,0,0,0,5,0,37,35
1333274220000000000,351,43,2,306,0,7,0,0,40,107,39,17,9,0,7,0,1,0,0,5,0,38,36
1333274280000000000,351,43,4,304,0,7,0,0,40,106,39,15,9,0,7,0,0,0,0,5,0,38,38
1333274340000000000,347,41,0,306,0,7,0,0,40,105,39,17,9,0,8,0,0,0,0,5,0,37,39
1333274400000000000,351,43,0,308,0,6,0,0,40,106,38,18,9,0,8,0,0,0,1,5,0,38,39
1333274460000000000,347,43,2,302,0,6,0,0,40,106,38,15,9,0,7,0,0,0,0,5,0,37,39
1333274520000000000,342,43,2,297,0,6,0,0,40,105,37,15,9,0,8,0,0,0,0,5,0,37,35
1333274580000000000,347,41,0,306,0,7,0,0,40,106,38,15,9,0,8,0,0,0,0,5,0,37,41
1333274640000000000,351,43,0,308,0,7,0,0,40,106,37,15,9,0,8,0,0,0,0,5,0,37,44
1333274700000000000,351,43,0,308,0,7,0,0,40,106,38,18,9,0,7,0,0,0,0,5,0,38,40
1333274760000000000,351,43,2,306,0,7,0,0,42,106,38,15,9,0,7,0,0,0,0,5,0,38,39
1333274820000000000,351,43,2,306,0,7,0,0,40,106,38,15,9,0,8,0,0,0,0,5,0,39,39
1333274880000000000,1348,43,0,1305,0,7,0,0,40,114,1048,19,9,0,8,0,0,0,0,5,0,39,16
1333274940000000000,2056,189,2,1865,0,7,0,0,42,115,1588,15,9,0,8,0,0,0,0,5,0,38,38
1333275000000000000,2166,171,0,1995,0,7,0,0,40,115,1715,15,9,0,7,0,0,0,0,5,0,38,44
1333275060000000000,2225,171,0,2054,0,7,0,0,40,115,1763,19,9,0,7,0,0,0,0,5,0,37,52
1333275120000000000,2385,173,2,2210,0,7,0,0,47,115,1784,15,9,0,8,0,0,0,144,5,0,38,38
1333275180000000000,2390,171,2,2217,0,7,0,0,40,114,1799,15,9,0,8,0,0,0,132,5,0,37,51
1333275240000000000,2403,171,0,2232,0,7,0,0,41,114,1773,60,9,0,8,0,0,0,128,5,0,38,49
1333275300000000000,2504,169,2,2333,0,7,0,0,31,115,1789,19,9,0,8,0,0,0,128,5,0,39,183
1333275360000000000,2476,171,2,2303,0,7,0,0,40,114,1791,15,9,0,7,0,0,0,127,5,0,38,150
1333275420000000000,2485,171,2,2312,0,7,0,0,40,114,1799,18,9,0,7,0,0,0,127,5,0,37,149
1333275480000000000,2490,171,2,2317,0,7,0,0,40,115,1800,15,9,0,7,0,0,0,125,5,0,38,156
1333275540000000000,2481,171,0,2310,0,7,0,0,40,114,1805,15,9,0,7,0,0,0,124,5,0,38,146
1333275600000000000,2376,43,0,2333,0,7,0,0,40,114,1808,15,9,0,7,0,0,0,123,5,0,39,166
1333275660000000000,2248,43,0,2205,0,7,0,0,40,115,1810,15,9,0,7,0,1,0,0,5,0,37,159
1333275720000000000,2248,43,0,2205,0,7,0,0,41,115,1813,15,9,0,7,0,1,0,0,5,0,38,154
1333275780000000000,2252,43,0,2209,0,7,0,0,40,114,1816,15,9,0,8,0,0,0,0,5,0,37,158
1333275840000000000,2248,43,2,2203,0,7,0,0,40,114,1816,15,9,0,7,0,0,0,0,5,0,38,152
1333275900000000000,2252,41,4,2207,0,6,0,0,42,115,1817,16,9,0,7,0,0,0,0,5,0,38,152
1333275960000000000,2152,43,0,2109,0,7,0,0,40,115,1821,15,9,0,7,0,1,0,0,5,0,38,51
1333276020000000000,2152,41,0,2111,0,6,0,0,40,114,1819,18,9,0,7,0,0,0,1,5,0,38,54
1333276080000000000,2166,43,0,2123,0,7,0,0,44,114,1824,15,9,0,7,0,0,0,0,5,0,37,61
1333276140000000000,2161,43,0,2118,0,7,0,0,40,114,1824,15,8,0,7,0,0,0,0,5,0,38,60
1333276200000000000,2161,43,4,2114,0,7,0,0,40,114,1825,18,9,0,8,0,0,0,1,5,0,38,49
1333276260000000000,2152,41,0,2111,0,7,0,0,30,114,1825,15,9,0,7,0,0,0,0,5,0,38,61
1333276320000000000,2156,41,4,2111,0,7,0,0,40,113,1827,15,9,0,8,0,0,0,0,5,0,37,50
1333276380000000000,2166,41,0,2125,0,7,0,0,40,114,1826,19,9,0,8,0,0,0,0,5,0,37,60
1333276440000000000,2175,43,2,2130,0,7,0,0,40,114,1829,15,9,0,7,0,0,0,10,5,0,38,56
1333276500000000000,324,43,2,279,0,7,0,0,41,107,1,19,9,0,8,0,0,0,7,5,0,38,37
1333276560000000000,324,43,2,279,0,7,0,0,40,108,1,15,9,0,7,0,1,0,7,5,0,37,42
1333276620000000000,315,41,2,272,0,7,0,0,40,106,1,15,9,0,7,0,0,0,7,5,0,38,37
1333276680000000000,329,43,2,284,0,7,0,0,41,106,1,19,9,0,7,0,0,0,7,5,0,37,45
1333276740000000000,319,43,0,276,0,7,0,0,40,107,1,15,9,0,7,0,0,0,7,5,0,37,41
1333276800000000000,461,189,2,270,0,7,0,0,40,107,1,15,9,0,7,0,0,0,7,5,0,37,35
1333276860000000000,452,175,2,275,0,7,0,0,41,108,1,16,9,0,7,0,0,0,7,5,0,38,36
1333276920000000000,584,175,2,407,0,7,0,0,40,107,1,15,9,0,8,0,1,0,151,5,0,38,25
1333276980000000000,589,173,0,416,0,7,0,0,40,107,0,19,9,0,7,0,0,0,142,5,0,38,42
1333277040000000000,580,173,0,407,0,7,0,0,43,106,0,15,9,0,8,0,0,0,137,5,0,38,39
1333277100000000000,571,173,2,396,0,7,0,0,40,106,0,15,9,0,8,0,0,0,136,5,0,38,32
1333277160000000000,571,173,2,396,0,7,0,0,40,106,1,15,9,0,8,0,0,0,135,5,0,38,32
1333277220000000000,562,171,2,389,0,6,0,0,47,107,1,15,9,0,8,0,0,0,134,5,0,38,19
1333277280000000000,566,169,0,397,0,7,0,0,40,107,1,19,9,0,8,0,0,0,133,5,0,38,30
1333277340000000000,562,171,0,391,0,7,0,0,40,106,1,15,9,0,8,0,1,0,133,5,0,37,29
1333277400000000000,566,169,2,395,0,7,0,0,40,106,1,15,9,0,7,0,0,0,134,5,0,37,34
1333277460000000000,447,41,2,404,0,6,0,0,41,106,1,18,9,0,7,0,0,0,133,5,0,38,40
1333277520000000000,603,43,2,558,0,6,0,0,40,107,41,15,9,0,7,0,0,0,131,5,0,38,159
1333277580000000000,603,43,0,560,0,7,0,0,40,106,39,19,9,0,7,0,0,0,131,5,0,37,160
1333277640000000000,584,43,0,541,0,7,0,0,40,106,39,15,9,0,7,0,0,0,130,5,0,38,145
1333277700000000000,589,43,0,546,0,7,0,0,40,106,38,15,9,0,8,0,0,0,131,5,0,38,149
1333277760000000000,580,41,0,539,0,7,0,0,40,104,38,15,9,0,8,0,0,0,129,5,0,37,147
1333277820000000000,589,43,2,544,0,7,0,0,41,106,37,15,9,0,7,0,0,0,130,5,0,38,149
1333277880000000000,589,43,2,544,0,6,0,0,40,106,37,19,9,0,7,0,1,0,129,5,0,38,147
1333277940000000000,456,43,2,411,0,7,0,0,40,106,38,15,8,0,7,0,0,0,7,5,0,38,140
1333278000000000000,502,43,4,455,0,7,0,0,42,104,37,61,9,1,8,0,0,0,7,5,0,38,136
1333278060000000000,507,41,2,464,0,7,0,0,41,105,36,60,9,0,7,0,0,0,7,5,0,38,149
1333278120000000000,662,253,2,407,0,7,0,0,40,106,37,15,9,0,8,0,0,0,7,5,0,38,135
1333278180000000000,571,251,2,318,0,7,0,0,45,106,38,19,9,0,8,0,0,0,7,5,0,38,36
1333278240000000000,562,249,4,309,0,7,0,0,41,107,37,15,9,0,7,0,1,0,0,22,0,38,25
1333278300000000000,351,41,0,310,0,7,0,0,40,105,38,19,9,0,7,0,0,0,0,5,0,38,42
1333278360000000000,342,43,2,297,0,6,0,0,30,105,38,15,9,0,7,0,0,0,0,5,0,37,45
1333278420000000000,351,43,0,308,0,7,0,0,41,106,38,15,9,0,7,0,0,0,0,5,0,38,42
1333278480000000000,351,41,0,310,0,7,0,0,40,105,38,19,9,0,8,0,0,0,0,5,0,38,41
